2016
January,22.5(10.3, 8.0),24.9(5.3, 4.3),446.6
February,20.6(9.7, 7.7),24.0(6.1, 4.9),451.0
March,20.5(9.7, 7.7),22.7(5.0, 3.9),187.8
April,18.1(10.5, 8.2),19.3(4.1, 3.1),109.5
May,14.5(10.7, 8.0),15.0(4.0, 3.3),97.0
June,15.9(8.2, 6.4),13.3(3.5, 2.8),77.8
July,18.8(10.6, 8.4),12.3(4.0, 3.3),87.8
August,18.5(10.9, 8.4),12.4(3.6, 2.9),107.6
September,18.1(11.0, 8.4),12.4(3.7, 3.1),147.0
October,21.2(10.5, 8.1),15.6(4.2, 3.3),201.4
November,19.9(7.8, 6.1),19.7(5.9, 4.6),249.3
December,21.2(8.3, 6.5),20.8(5.1, 3.9),262.4
